iter	Passed	Remaining
942	13640	824
943	13653	809
944	13665	795
945	13677	780
946	13691	766
947	13701	751
948	13713	736
949	13726	722
950	13739	707
951	13753	693
952	13766	678
953	13779	664
954	13791	649
955	13804	635
956	13816	620
957	13828	606
958	13843	591
959	13859	577
960	13874	563
961	13887	548
962	13901	534
963	13915	519
964	13927	505
965	13941	490
966	13954	476
967	13968	461
968	13982	447
969	13995	432
970	14008	418
971	14025	404
972	14040	389
973	14053	375
974	14067	360
975	14079	346
976	14093	331
977	14106	317
978	14119	302
979	14132	288
980	14144	273
981	14158	259
982	14173	245
983	14186	230
984	14199	216
985	14213	201
986	14225	187
987	14237	172
988	14255	158
989	14271	144
990	14287	129
991	14300	115
992	14313	100
993	14330	86
994	14341	72
995	14361	57
996	14375	43
997	14389	28
998	14404	14
999	14420	0
